"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 99, 2 ]",99,198,dart-transitive,TRUE,FALSE,396,4,1,2,4,16,"DW(33,3)",402
"C4[ 100, 1 ]",100,200,dart-transitive,FALSE,TRUE,112589990684262400,1125899906842624,281474976710656,3,4,25,"W(50,2)",403
"C4[ 100, 2 ]",100,200,dart-transitive,TRUE,TRUE,400,4,1,1,4,8,"{4,4}_8,6",404
"C4[ 100, 3 ]",100,200,dart-transitive,TRUE,TRUE,800,8,2,3,4,10,"{4,4}_10,0",405
"C4[ 100, 4 ]",100,200,dart-transitive,TRUE,TRUE,400,4,1,3,4,10,"{4,4}_[10,5]",406
"C4[ 100, 5 ]",100,200,dart-transitive,TRUE,TRUE,400,4,1,1,6,10,"PS(20,5;2)",407
"C4[ 100, 6 ]",100,200,dart-transitive,TRUE,FALSE,1677721600,16777216,4194304,1,4,12,"R_50(27,26)",408
"C4[ 100, 7 ]",100,200,half-arc-transitive,TRUE,TRUE,200,2,1,2,4,6,"MSZ(20,5,9,2)",409
"C4[ 100, 8 ]",100,200,dart-transitive,TRUE,TRUE,800,8,2,1,8,6,"AMC(4,5,[1.2:1.4])",410
"C4[ 100, 9 ]",100,200,semisymmetric,TRUE,TRUE,200,4,1,0,4,10,"PL(Br(10,5;2))",411
"C4[ 100, 10 ]",100,200,semisymmetric,TRUE,TRUE,400,8,2,0,6,6,"BGCG(K5,K55)",412
"C4[ 100, 11 ]",100,200,semisymmetric,FALSE,TRUE,3355443200,67108864,16777216,0,4,8,"SDD(C_25(1,7))",413
"C4[ 100, 12 ]",100,200,semisymmetric,FALSE,TRUE,6710886400,134217728,33554432,0,4,10,"SDD({4,4}_5,0)",414
"C4[ 101, 1 ]",101,202,dart-transitive,TRUE,FALSE,404,4,1,0,4,9,"C_101(1,10)",415
"C4[ 102, 1 ]",102,204,dart-transitive,FALSE,FALSE,229683580995895300,2251799813685248,562949953421312,1,4,25,"W(51,2)",416
"C4[ 102, 2 ]",102,204,dart-transitive,TRUE,TRUE,408,4,1,3,4,17,"C_102(1,35)",417
"C4[ 102, 3 ]",102,204,dart-transitive,TRUE,TRUE,408,4,1,1,6,6,"PS(6,17;4)",418
"C4[ 104, 1 ]",104,208,dart-transitive,FALSE,TRUE,468374361246531600,4503599627370496,1125899906842624,3,4,26,"W(52,2)",419
"C4[ 104, 2 ]",104,208,dart-transitive,TRUE,TRUE,416,4,1,3,4,13,"C_104(1,25)",420
"C4[ 104, 3 ]",104,208,dart-transitive,TRUE,TRUE,416,4,1,3,4,13,"C_104(1,27)",421
"C4[ 104, 4 ]",104,208,dart-transitive,TRUE,TRUE,416,4,1,1,4,10,"{4,4}_10,2",422
"C4[ 104, 5 ]",104,208,dart-transitive,TRUE,TRUE,416,4,1,1,6,6,"PS(8,13;5)",423
"C4[ 104, 6 ]",104,208,dart-transitive,TRUE,TRUE,416,4,1,1,6,6,"MPS(4,52;5)",424
"C4[ 104, 7 ]",104,208,dart-transitive,TRUE,TRUE,3489660928,33554432,8388608,1,4,13,"R_52(28,27)",425
"C4[ 104, 8 ]",104,208,dart-transitive,TRUE,FALSE,212992,2048,512,1,4,6,"PX(13,3)",426
"C4[ 104, 9 ]",104,208,semisymmetric,TRUE,TRUE,208,4,1,0,4,6,"PL(MC3(4,13,1,12,5,0,1),[4^13,26^2])",427
"C4[ 104, 10 ]",104,208,semisymmetric,TRUE,TRUE,208,4,1,0,4,6,"PL(Br(4,13;5))",428
"C4[ 104, 11 ]",104,208,semisymmetric,FALSE,TRUE,14293651161088,274877906944,68719476736,0,4,13,"SDD(W(13,2))",429
"C4[ 104, 12 ]",104,208,semisymmetric,FALSE,TRUE,6979321856,134217728,33554432,0,4,10,"SDD(C_26(1,5))",430
"C4[ 104, 13 ]",104,208,semisymmetric,FALSE,TRUE,753766760448,14495514624,3623878656,0,4,6,"SDD(BC_13(0,1,3,9))",431
"C4[ 105, 1 ]",105,210,dart-transitive,TRUE,FALSE,420,4,1,2,4,7,"C_105(1,29)",432
"C4[ 105, 2 ]",105,210,dart-transitive,TRUE,FALSE,420,4,1,2,4,17,"C_105(1,34)",433
"C4[ 105, 3 ]",105,210,dart-transitive,TRUE,FALSE,420,4,1,2,4,10,"C_105(1,41)",434
"C4[ 105, 4 ]",105,210,half-arc-transitive,TRUE,FALSE,210,2,1,2,6,7,"PS(15,7;2)",435
"C4[ 105, 5 ]",105,210,half-arc-transitive,TRUE,FALSE,210,2,1,2,6,6,"PS(3,35;11)",436
"C4[ 106, 1 ]",106,212,dart-transitive,FALSE,FALSE,954763121002545200,9007199254740992,2251799813685248,1,4,26,"W(53,2)",437
"C4[ 106, 2 ]",106,212,dart-transitive,TRUE,TRUE,424,4,1,1,4,9,"C_106(1,23)",438
"C4[ 108, 1 ]",108,216,dart-transitive,FALSE,TRUE,1945555039024054300,18014398509481984,4503599627370496,3,4,27,"W(54,2)",439
"C4[ 108, 2 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,3,4,18,"DW(36,3)",440
"C4[ 108, 3 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,3,4,9,"{4,4}_[9,6]",441
"C4[ 108, 4 ]",108,216,dart-transitive,TRUE,TRUE,432,4,1,3,4,9,"{4,4}_<12,6>",442
"C4[ 108, 5 ]",108,216,half-arc-transitive,TRUE,TRUE,216,2,1,2,6,6,"PS(12,9;2)",443
"C4[ 108, 6 ]",108,216,half-arc-transitive,TRUE,TRUE,216,2,1,2,6,6,"PS(3,36;11)",444
"C4[ 108, 7 ]",108,216,half-arc-transitive,TRUE,TRUE,216,2,1,2,8,6,"PS(6,36;5)",445
"C4[ 108, 8 ]",108,216,dart-transitive,TRUE,FALSE,7247757312,67108864,16777216,2,4,13,"R_54(29,28)",446
