"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 268, 2 ]",268,536,dart-transitive,TRUE,FALSE,1977490964701664e7,7378697629483821e4,18446744073709552e3,1,4,33,"R_134(69,68)",2284
"C4[ 269, 1 ]",269,538,dart-transitive,TRUE,FALSE,1076,4,1,0,4,12,"C_269(1,82)",2285
"C4[ 270, 1 ]",270,540,dart-transitive,FALSE,FALSE,11760158600787633e27,43556142965880123e24,10889035741470031e24,1,4,67,"W(135,2)",2286
"C4[ 270, 2 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,3,4,27,"C_270(1,109)",2287
"C4[ 270, 3 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,3,4,45,"DW(90,3)",2288
"C4[ 270, 4 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,3,4,15,"{4,4}_[15,9]",2289
"C4[ 270, 5 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,1,6,27,"PS(54,5;2)",2290
"C4[ 270, 6 ]",270,540,half-arc-transitive,TRUE,TRUE,540,2,1,2,6,15,"PS(30,9;2)",2291
"C4[ 270, 7 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,3,6,9,"PS(18,15;4)",2292
"C4[ 270, 8 ]",270,540,half-arc-transitive,TRUE,TRUE,540,2,1,2,8,7,"PS(6,45;4)",2293
"C4[ 270, 9 ]",270,540,half-arc-transitive,TRUE,TRUE,540,2,1,2,6,15,"PS(6,45;14)",2294
"C4[ 270, 10 ]",270,540,dart-transitive,TRUE,TRUE,2160,8,2,2,6,15,"CPM(3,2,15,1)",2295
"C4[ 270, 11 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,3,6,15,"AMC(30,3,[0.1:2.2])",2296
"C4[ 270, 12 ]",270,540,half-arc-transitive,TRUE,TRUE,540,2,1,2,4,9,"UG(ATD[270,1])",2297
"C4[ 270, 13 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,1,6,9,"UG(ATD[270,11])",2298
"C4[ 270, 14 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,1,6,8,"UG(ATD[270,12])",2299
"C4[ 270, 15 ]",270,540,dart-transitive,TRUE,TRUE,2160,8,2,2,6,7,"UG(ATD[270,13])",2300
"C4[ 270, 16 ]",270,540,dart-transitive,TRUE,TRUE,1080,4,1,1,8,9,"UG(ATD[270,15])",2301
"C4[ 270, 17 ]",270,540,dart-transitive,TRUE,FALSE,1080,4,1,1,6,7,"UG(ATD[270,32])",2302
"C4[ 270, 18 ]",270,540,dart-transitive,TRUE,FALSE,2160,8,2,1,6,7,"UG(ATD[270,33])",2303
"C4[ 270, 19 ]",270,540,dart-transitive,TRUE,TRUE,8640,32,8,1,6,6,"UG(ATD[270,34])",2304
"C4[ 270, 20 ]",270,540,dart-transitive,TRUE,TRUE,8640,32,8,1,6,9,"UG(ATD[270,35])",2305
"C4[ 270, 21 ]",270,540,dart-transitive,TRUE,TRUE,4320,16,4,1,6,6,"UG(ATD[270,36])",2306
"C4[ 270, 22 ]",270,540,dart-transitive,TRUE,TRUE,4320,16,4,0,4,8,TAG(F90),2307
"C4[ 270, 23 ]",270,540,dart-transitive,TRUE,FALSE,2160,8,2,0,5,7,"UG(Rmap(540,261){8,4|10}_15)",2308
"C4[ 270, 24 ]",270,540,semisymmetric,TRUE,TRUE,540,4,1,0,4,15,"XI(Rmap(135,4){15,6|6}_30)",2309
"C4[ 272, 1 ]",272,544,dart-transitive,FALSE,TRUE,23694541773438787e27,8711228593176025e25,21778071482940062e24,3,4,68,"W(136,2)",2310
"C4[ 272, 2 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,3,4,17,"C_272(1,33)",2311
"C4[ 272, 3 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,3,4,17,"C_272(1,103)",2312
"C4[ 272, 4 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,1,4,16,"{4,4}_16,4",2313
"C4[ 272, 5 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,3,4,34,"{4,4}_[34,4]",2314
"C4[ 272, 6 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,3,4,34,"{4,4}_<36,32>",2315
"C4[ 272, 7 ]",272,544,half-arc-transitive,TRUE,TRUE,544,2,1,2,6,8,"PS(16,17;2)",2316
"C4[ 272, 8 ]",272,544,half-arc-transitive,TRUE,TRUE,544,2,1,2,8,8,"PS(16,17;3)",2317
"C4[ 272, 9 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,1,6,8,"PS(16,17;4)",2318
"C4[ 272, 10 ]",272,544,half-arc-transitive,TRUE,TRUE,544,2,1,2,8,8,"PS(16,17;5)",2319
"C4[ 272, 11 ]",272,544,half-arc-transitive,TRUE,TRUE,544,2,1,2,8,7,"PS(8,68;9)",2320
"C4[ 272, 12 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,1,6,10,"PS(8,68;13)",2321
"C4[ 272, 13 ]",272,544,half-arc-transitive,TRUE,TRUE,544,2,1,2,8,6,"MPS(8,68;9)",2322
"C4[ 272, 14 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,1,6,8,"MPS(8,68;13)",2323
"C4[ 272, 15 ]",272,544,half-arc-transitive,TRUE,TRUE,544,2,1,2,4,10,"PS(4,136;13)",2324
"C4[ 272, 16 ]",272,544,half-arc-transitive,TRUE,TRUE,544,2,1,2,4,10,"MPS(4,136;13)",2325
"C4[ 272, 17 ]",272,544,dart-transitive,TRUE,TRUE,40140115104391984e6,14757395258967641e4,36893488147419103e3,3,4,34,"MPS(4,136;33)",2326
"C4[ 272, 18 ]",272,544,dart-transitive,TRUE,TRUE,1168231104512,4294967296,1073741824,1,4,17,"PX(34,3)",2327
"C4[ 272, 19 ]",272,544,dart-transitive,TRUE,FALSE,4456448,16384,4096,1,4,8,"PX(17,4)",2328
"C4[ 272, 20 ]",272,544,semisymmetric,TRUE,TRUE,544,4,1,0,4,10,"PL(MC3(4,34,1,33,13,0,1),[4^34,34^4])",2329
"C4[ 272, 21 ]",272,544,semisymmetric,TRUE,TRUE,544,4,1,0,4,8,"PL(MC3(8,17,1,16,4,0,1),[8^17,34^4])",2330
"C4[ 272, 22 ]",272,544,dart-transitive,TRUE,TRUE,1088,4,1,1,6,10,"KE_68(1,27,2,43,1)",2331
"C4[ 272, 23 ]",272,544,semisymmetric,TRUE,TRUE,584115552256,4294967296,1073741824,0,4,17,"PL(Curtain_34(1,17,2,18,19),[4^34,8^17])",2332
"C4[ 272, 24 ]",272,544,semisymmetric,TRUE,TRUE,544,4,1,0,4,8,"PL(Br(8,17;4))",2333
"C4[ 272, 25 ]",272,544,semisymmetric,FALSE,TRUE,3448009632620784e17,2535301200456459e15,6338253001141147e14,0,4,34,"SDD(W(34,2))",2334
"C4[ 272, 26 ]",272,544,semisymmetric,TRUE,TRUE,544,4,1,0,4,10,"PL(CS(C_34(1,13)[34^2],1))",2335
"C4[ 272, 27 ]",272,544,semisymmetric,FALSE,TRUE,8028023020878397e7,5902958103587057e5,14757395258967641e4,0,4,16,"SDD({4,4}_8,2)",2336
"C4[ 272, 28 ]",272,544,semisymmetric,FALSE,TRUE,13153112917407165e11,9671406556917033e9,2.4178516392292583e+24,0,4,17,"SDD(R_34(19,18))",2337
"C4[ 273, 1 ]",273,546,dart-transitive,TRUE,FALSE,1092,4,1,2,4,13,"C_273(1,64)",2338
"C4[ 273, 2 ]",273,546,dart-transitive,TRUE,FALSE,1092,4,1,2,4,45,"C_273(1,92)",2339
"C4[ 273, 3 ]",273,546,dart-transitive,TRUE,FALSE,1092,4,1,2,4,19,"C_273(1,118)",2340
"C4[ 273, 4 ]",273,546,half-arc-transitive,TRUE,FALSE,546,2,1,2,6,19,"PS(39,7;2)",2341
"C4[ 273, 5 ]",273,546,half-arc-transitive,TRUE,FALSE,546,2,1,2,6,10,"PS(21,13;3)",2342
"C4[ 273, 6 ]",273,546,half-arc-transitive,TRUE,FALSE,546,2,1,2,3,12,"PS(3,91;9)",2343
"C4[ 273, 7 ]",273,546,half-arc-transitive,TRUE,FALSE,546,2,1,2,6,8,"PS(3,91;12)",2344
"C4[ 273, 8 ]",273,546,half-arc-transitive,TRUE,FALSE,546,2,1,2,3,11,"PS(3,91;16)",2345
"C4[ 273, 9 ]",273,546,half-arc-transitive,TRUE,FALSE,546,2,1,2,6,9,"PS(3,91;22)",2346
"C4[ 273, 10 ]",273,546,dart-transitive,TRUE,FALSE,2184,8,2,1,6,7,"UG(ATD[273,19])",2347
"C4[ 273, 11 ]",273,546,dart-transitive,TRUE,FALSE,1092,4,1,0,3,8,L(F182C),2348
"C4[ 273, 12 ]",273,546,dart-transitive,TRUE,FALSE,2184,8,2,0,3,8,L(F182D),2349
"C4[ 273, 13 ]",273,546,dart-transitive,TRUE,FALSE,2184,8,2,0,7,6,"UG(Rmap(546,85){7,4|14}_12)",2350
"C4[ 273, 14 ]",273,546,dart-transitive,TRUE,FALSE,6552,24,6,0,7,7,"UG(Rmap(546,86){7,4|14}_14)",2351
"C4[ 273, 15 ]",273,546,dart-transitive,TRUE,FALSE,2184,8,2,0,7,5,"UG(Rmap(546,94){12,4|7}_13)",2352
"C4[ 273, 16 ]",273,546,dart-transitive,TRUE,FALSE,1092,4,1,0,6,7,"MG(Rmap(273,23){6,7|13}_13)",2353
"C4[ 274, 1 ]",274,548,dart-transitive,FALSE,FALSE,4773753269060462e28,1742245718635205e26,43556142965880123e24,1,4,68,"W(137,2)",2354
"C4[ 274, 2 ]",274,548,dart-transitive,TRUE,TRUE,1096,4,1,1,4,15,"C_274(1,37)",2355
"C4[ 275, 1 ]",275,550,dart-transitive,TRUE,FALSE,1100,4,1,2,4,12,"C_275(1,76)",2356
"C4[ 275, 2 ]",275,550,dart-transitive,TRUE,FALSE,1100,4,1,2,4,27,"{4,4}_<30,25>",2357
"C4[ 275, 3 ]",275,550,half-arc-transitive,TRUE,FALSE,550,2,1,2,6,12,"PS(25,11;2)",2358
"C4[ 275, 4 ]",275,550,half-arc-transitive,TRUE,FALSE,550,2,1,2,6,12,"PS(25,11;3)",2359
"C4[ 275, 5 ]",275,550,half-arc-transitive,TRUE,FALSE,550,2,1,2,5,7,"PS(5,55;16)",2360
"C4[ 275, 6 ]",275,550,half-arc-transitive,TRUE,FALSE,550,2,1,2,5,7,"PS(5,55;19)",2361
"C4[ 276, 1 ]",276,552,dart-transitive,FALSE,TRUE,9617196366866331e28,348449143727041e27,8711228593176025e25,3,4,69,"W(138,2)",2362
"C4[ 276, 2 ]",276,552,dart-transitive,TRUE,TRUE,1104,4,1,3,4,23,"C_276(1,47)",2363
"C4[ 276, 3 ]",276,552,dart-transitive,TRUE,TRUE,1104,4,1,3,4,46,"C_276(1,91)",2364
"C4[ 276, 4 ]",276,552,dart-transitive,TRUE,TRUE,1104,4,1,3,4,23,"{4,4}_<26,20>",2365
"C4[ 276, 5 ]",276,552,dart-transitive,TRUE,FALSE,8146082182950138e7,29514790517935283e4,7378697629483821e4,2,4,34,"R_138(71,70)",2366
"C4[ 276, 6 ]",276,552,dart-transitive,TRUE,FALSE,1104,4,1,2,6,11,"Pr_92(1,21,25,45)",2367
"C4[ 276, 7 ]",276,552,semisymmetric,FALSE,TRUE,16292164365900276e7,11805916207174113e5,29514790517935283e4,0,4,23,"SDD(C_69(1,22))",2368
"C4[ 277, 1 ]",277,554,dart-transitive,TRUE,FALSE,1108,4,1,0,4,13,"C_277(1,60)",2369
"C4[ 278, 1 ]",278,556,dart-transitive,FALSE,FALSE,1937377239122348e29,696898287454082e27,1742245718635205e26,1,4,69,"W(139,2)",2370
"C4[ 279, 1 ]",279,558,dart-transitive,TRUE,FALSE,1116,4,1,2,4,15,"C_279(1,125)",2371
"C4[ 279, 2 ]",279,558,dart-transitive,TRUE,FALSE,1116,4,1,2,4,46,"DW(93,3)",2372
"C4[ 279, 3 ]",279,558,half-arc-transitive,TRUE,FALSE,558,2,1,2,6,8,"PS(9,31;5)",2373
"C4[ 279, 4 ]",279,558,half-arc-transitive,TRUE,FALSE,558,2,1,2,3,12,"PS(3,93;25)",2374
"C4[ 280, 1 ]",280,560,dart-transitive,FALSE,TRUE,3902630409742859e29,1393796574908164e27,348449143727041e27,3,4,70,"W(140,2)",2375
"C4[ 280, 2 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,4,14,"C_280(1,29)",2376
"C4[ 280, 3 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,4,20,"C_280(1,41)",2377
"C4[ 280, 4 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,4,35,"C_280(1,69)",2378
"C4[ 280, 5 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,4,35,"C_280(1,71)",2379
"C4[ 280, 6 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,4,14,"C_280(1,99)",2380
"C4[ 280, 7 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,4,28,"C_280(1,111)",2381
"C4[ 280, 8 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,4,14,"{4,4}_[14,10]",2382
"C4[ 280, 9 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,1,6,28,"PS(56,5;2)",2383
"C4[ 280, 10 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,1,6,14,"PS(28,20;3)",2384
"C4[ 280, 11 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,1,6,14,"MPS(28,20;3)",2385
"C4[ 280, 12 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,6,10,"PS(14,40;9)",2386
"C4[ 280, 13 ]",280,560,dart-transitive,TRUE,TRUE,1120,4,1,3,6,10,"PS(14,40;11)",2387
"C4[ 280, 14 ]",280,560,half-arc-transitive,TRUE,TRUE,560,2,1,2,8,8,"PS(8,35;8)",2388
"C4[ 280, 15 ]",280,560,half-arc-transitive,TRUE,TRUE,560,2,1,2,4,14,"PS(4,140;13)",2389
"C4[ 280, 16 ]",280,560,half-arc-transitive,TRUE,TRUE,560,2,1,2,8,8,"MPS(4,140;13)",2390
"C4[ 280, 17 ]",280,560,dart-transitive,TRUE,TRUE,16528282690043758e7,5902958103587057e5,14757395258967641e4,1,4,35,"R_140(72,71)",2391
"C4[ 280, 18 ]",280,560,dart-transitive,TRUE,FALSE,2405181685760,8589934592,2147483648,1,4,17,"PX(35,3)",2392
"C4[ 280, 19 ]",280,560,semisymmetric,TRUE,TRUE,560,4,1,0,4,10,"PL(MSY(4,35,6,0))",2393
"C4[ 280, 20 ]",280,560,semisymmetric,TRUE,TRUE,560,4,1,0,4,10,"PL(MC3(4,35,1,34,6,0,1),[4^35,70^2])",2394
"C4[ 280, 21 ]",280,560,semisymmetric,TRUE,TRUE,560,4,1,0,4,14,"PL(MC3(4,35,1,29,8,5,1),[10^14,28^5])",2395
"C4[ 280, 22 ]",280,560,semisymmetric,TRUE,TRUE,4480,32,8,0,4,10,"PL(Curtain_35(1,6,29,34,35),[4^35,14^10])",2396
"C4[ 280, 23 ]",280,560,semisymmetric,TRUE,TRUE,17920,128,32,0,4,10,"PL(Curtain_35(1,7,1,2,30),[4^35,10^14])",2397
"C4[ 280, 24 ]",280,560,semisymmetric,TRUE,TRUE,560,4,1,0,4,28,"PL(Br(28,5;2))",2398
"C4[ 280, 25 ]",280,560,semisymmetric,TRUE,TRUE,560,4,1,0,4,14,"PL(Br(14,10;3))",2399
"C4[ 280, 26 ]",280,560,semisymmetric,TRUE,TRUE,4480,32,8,0,4,10,"PL(BC_70({0,35},{1,6})",2400
"C4[ 280, 27 ]",280,560,semisymmetric,TRUE,TRUE,17920,128,32,0,4,10,"PL(BC_70({0,35},{1,64})",2401
"C4[ 280, 28 ]",280,560,half-arc-transitive,TRUE,FALSE,560,2,1,2,8,7,"UG(ATD[280,1])",2402
"C4[ 280, 29 ]",280,560,semisymmetric,FALSE,TRUE,3.3056565380087516e+23,23611832414348226e5,5902958103587057e5,0,4,14,"SDD(C_70(1,29))",2403
"C4[ 280, 30 ]",280,560,semisymmetric,FALSE,TRUE,2839537344511234e18,2028240960365167e16,5070602400912918e15,0,4,35,"SDD(W(35,2))",2404
"C4[ 280, 31 ]",280,560,semisymmetric,FALSE,TRUE,3.3056565380087516e+23,23611832414348226e5,5902958103587057e5,0,4,14,"SDD(PS(14,5;2))",2405
"C4[ 280, 32 ]",280,560,semisymmetric,FALSE,TRUE,11900363536831506e9,8500259669165361e7,21250649172913403e6,0,4,14,SDD(B(Odd4)),2406
"C4[ 281, 1 ]",281,562,dart-transitive,TRUE,FALSE,1124,4,1,0,4,15,"C_281(1,53)",2407
"C4[ 282, 1 ]",282,564,dart-transitive,FALSE,FALSE,7861012682482045e29,2787593149816328e27,696898287454082e27,1,4,70,"W(141,2)",2408
"C4[ 282, 2 ]",282,564,dart-transitive,TRUE,TRUE,1128,4,1,3,4,47,"C_282(1,95)",2409
"C4[ 284, 1 ]",284,568,dart-transitive,FALSE,TRUE,15833529090956742e29,5575186299632656e27,1393796574908164e27,3,4,71,"W(142,2)",2410
"C4[ 284, 2 ]",284,568,dart-transitive,TRUE,FALSE,3352880202837448e8,11805916207174113e5,29514790517935283e4,1,4,35,"R_142(73,72)",2411
"C4[ 285, 1 ]",285,570,dart-transitive,TRUE,FALSE,1140,4,1,2,4,28,"C_285(1,56)",2412
"C4[ 285, 2 ]",285,570,dart-transitive,TRUE,FALSE,1140,4,1,2,4,47,"C_285(1,94)",2413
"C4[ 285, 3 ]",285,570,dart-transitive,TRUE,FALSE,1140,4,1,2,4,15,"C_285(1,134)",2414
"C4[ 285, 4 ]",285,570,half-arc-transitive,TRUE,FALSE,570,2,1,2,6,7,"PS(15,19;7)",2415
"C4[ 285, 5 ]",285,570,half-arc-transitive,TRUE,FALSE,570,2,1,2,6,7,"PS(3,95;11)",2416
"C4[ 285, 6 ]",285,570,dart-transitive,TRUE,FALSE,6840,24,6,0,9,6,"AT[285,4]",2417
"C4[ 286, 1 ]",286,572,dart-transitive,FALSE,FALSE,3189006563389879e30,11150372599265312e27,2787593149816328e27,1,4,71,"W(143,2)",2418
"C4[ 286, 2 ]",286,572,dart-transitive,TRUE,TRUE,1144,4,1,3,4,13,"C_286(1,131)",2419
"C4[ 286, 3 ]",286,572,dart-transitive,TRUE,TRUE,1144,4,1,1,6,11,"PS(22,13;5)",2420
"C4[ 287, 1 ]",287,574,dart-transitive,TRUE,FALSE,1148,4,1,2,4,20,"C_287(1,83)",2421
"C4[ 288, 1 ]",288,576,dart-transitive,FALSE,TRUE,642261461717682e31,22300745198530623e27,5575186299632656e27,3,4,72,"W(144,2)",2422
"C4[ 288, 2 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,16,"C_288(1,17)",2423
"C4[ 288, 3 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,16,"C_288(1,127)",2424
"C4[ 288, 4 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,48,"DW(96,3)",2425
"C4[ 288, 5 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,4,12,"{4,4}_12,12",2426
"C4[ 288, 6 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,12,"{4,4}_<18,6>",2427
"C4[ 288, 7 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,18,"{4,4}_[18,8]",2428
"C4[ 288, 8 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,18,"{4,4}_<22,14>",2429
"C4[ 288, 9 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,24,"{4,4}_[24,6]",2430
"C4[ 288, 10 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,24,"{4,4}_<27,21>",2431
"C4[ 288, 11 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,36,"{4,4}_[36,4]",2432
"C4[ 288, 12 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,4,36,"{4,4}_<38,34>",2433
"C4[ 288, 13 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,18,"PS(36,16;3)",2434
"C4[ 288, 14 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,18,"MPS(36,16;3)",2435
"C4[ 288, 15 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,12,"PS(24,24;5)",2436
"C4[ 288, 16 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,12,"MPS(24,24;5)",2437
"C4[ 288, 17 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,8,"PS(12,48;5)",2438
"C4[ 288, 18 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,10,"PS(12,48;7)",2439
"C4[ 288, 19 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,8,"MPS(12,48;5)",2440
"C4[ 288, 20 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,3,6,12,"MPS(12,48;11)",2441
"C4[ 288, 21 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,18,"PS(8,72;17)",2442
"C4[ 288, 22 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,9,"PS(6,96;17)",2443
"C4[ 288, 23 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,16,"PS(6,96;31)",2444
"C4[ 288, 24 ]",288,576,dart-transitive,TRUE,TRUE,6800207735332289e8,23611832414348226e5,5902958103587057e5,4,4,36,"MPS(4,144;35)",2445
"C4[ 288, 25 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,6,18,"R_144(110,37)",2446
"C4[ 288, 26 ]",288,576,dart-transitive,TRUE,TRUE,4947802324992,17179869184,4294967296,5,4,18,"PX(36,3)",2447
"C4[ 288, 27 ]",288,576,dart-transitive,TRUE,TRUE,9437184,32768,8192,2,4,9,"PX(18,4)",2448
"C4[ 288, 28 ]",288,576,dart-transitive,TRUE,FALSE,9216,32,8,1,4,9,"PX(9,5)",2449
"C4[ 288, 29 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,18,"PL(MSY(4,36,17,0))",2450
"C4[ 288, 30 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,18,"PL(MSY(4,36,17,18))",2451
"C4[ 288, 31 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,12,"PL(MSY(6,24,11,0))",2452
"C4[ 288, 32 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,12,"PL(MSY(6,24,11,12))",2453
"C4[ 288, 33 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MSY(6,24,5,0))",2454
"C4[ 288, 34 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MSY(6,24,5,12))",2455
"C4[ 288, 35 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,10,"PL(MSY(6,24,17,0))",2456
"C4[ 288, 36 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MSY(6,24,17,12))",2457
"C4[ 288, 37 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,12,"PL(MSY(12,12,5,0))",2458
"C4[ 288, 38 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,18,"PL(MSY(18,8,3,0))",2459
"C4[ 288, 39 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,18,"MSY(4,72,37,4)",2460
"C4[ 288, 40 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,12,"MSY(12,24,13,12)",2461
"C4[ 288, 41 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,12,"PL(MSZ(12,12,3,5),[4^36,12^12])",2462
"C4[ 288, 42 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MC3(6,24,1,19,5,0,1),[6^24,8^18])",2463
"C4[ 288, 43 ]",288,576,semisymmetric,TRUE,TRUE,9216,64,16,0,4,12,"PL(MC3(6,24,1,13,5,6,1),[4^36,24^6])",2464
"C4[ 288, 44 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MC3(6,24,1,7,5,12,1),[8^18,12^12])",2465
"C4[ 288, 45 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,18,"PL(MC3(6,24,1,13,7,4,1),[4^36,36^4])",2466
"C4[ 288, 46 ]",288,576,semisymmetric,TRUE,TRUE,2304,16,4,0,4,18,"PL(MC3(6,24,1,13,7,16,1),[4^36,18^8])",2467
"C4[ 288, 47 ]",288,576,semisymmetric,TRUE,TRUE,589824,4096,1024,0,4,12,"PL(MC3(6,24,1,13,11,0,1),[4^36,6^24])",2468
"C4[ 288, 48 ]",288,576,semisymmetric,TRUE,TRUE,589824,4096,1024,0,4,12,"PL(MC3(6,24,1,13,11,12,1),[4^36,12^12])",2469
"C4[ 288, 49 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MC3(6,24,1,17,11,12,1),[6^24,12^12])",2470
"C4[ 288, 50 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MC3(6,24,1,19,11,12,1),[8^18,12^12])",2471
"C4[ 288, 51 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,8,"PL(MC3(6,24,1,7,17,0,1),[6^24,8^18])",2472
"C4[ 288, 52 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,4,16,"PL(WH_48(3,0,13,19),[3^48,16^9])",2473
"C4[ 288, 53 ]",288,576,semisymmetric,TRUE,TRUE,1152,8,2,0,4,9,"PL(WH_48(3,13,19,24),[6^24,16^9])",2474
"C4[ 288, 54 ]",288,576,semisymmetric,TRUE,TRUE,576,4,1,0,4,18,"PL(KE_36(9,1,18,35,9),[4^36,72^2])",2475
"C4[ 288, 55 ]",288,576,semisymmetric,TRUE,TRUE,2415919104,16777216,4194304,0,4,9,"PL(Curtain_36(1,18,1,11,29),[4^36,4^36])",2476
"C4[ 288, 56 ]",288,576,semisymmetric,TRUE,TRUE,2473901162496,17179869184,4294967296,0,4,18,"PL(Curtain_36(1,18,2,19,20),[4^36,8^18])",2477
"C4[ 288, 57 ]",288,576,semisymmetric,TRUE,TRUE,2415919104,16777216,4194304,0,4,9,"PL(Curtain_36(1,18,11,19,29),[4^36,8^18])",2478
"C4[ 288, 58 ]",288,576,dart-transitive,TRUE,TRUE,2304,8,2,3,6,12,"CPM(12,2,4,1)",2479
"C4[ 288, 59 ]",288,576,dart-transitive,TRUE,TRUE,1152,4,1,1,6,16,"AMC(32,3,[0.1:1.2])",2480
"C4[ 288, 60 ]",288,576,semisymmetric,TRUE,TRUE,1179648,8192,2048,0,4,12,"PL(RC(6,4),[4^36,6^24])",2481
"C4[ 288, 61 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,8,8,"UG(ATD[288,1])",2482
"C4[ 288, 62 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,8,8,"UG(ATD[288,3])",2483
"C4[ 288, 63 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,8,8,"UG(ATD[288,5])",2484
"C4[ 288, 64 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,4,8,"UG(ATD[288,7])",2485
"C4[ 288, 65 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,8,8,"UG(ATD[288,9])",2486
"C4[ 288, 66 ]",288,576,half-arc-transitive,TRUE,TRUE,576,2,1,2,4,8,"UG(ATD[288,11])",2487
