no. vertices,no. edges,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter
50,100,5.298317366548036,1.3862943611198906,0.0,1,4,7
50,100,5.991464547107982,2.0794415416798357,0.6931471805599453,2,4,5
50,100,5.298317366548036,1.3862943611198906,0.0,1,6,5
51,102,5.318119993844216,1.3862943611198906,0.0,2,4,8
52,104,21.973070413140004,18.021826694558577,16.635532333438686,3,4,13
52,104,5.337538079701318,1.3862943611198906,0.0,1,4,6
52,104,12.269009885300772,8.317766166719343,6.931471805599453,1,4,6
52,104,12.962157065860717,9.704060527839234,8.317766166719343,0,4,6
53,106,5.356586274672012,1.3862943611198906,0.0,0,4,6
54,108,22.703957921682797,18.714973875118524,17.328679513998633,1,4,13
54,108,5.375278407684165,1.3862943611198906,0.0,3,4,9
54,108,4.68213122712422,0.6931471805599453,0.0,2,6,5
54,108,7.16703787691222,3.1780538303479458,1.791759469228055,1,6,5
54,108,6.068425588244111,2.0794415416798357,0.6931471805599453,2,6,5
54,108,5.375278407684165,1.3862943611198906,0.0,1,4,5
55,110,5.393627546352362,1.3862943611198906,0.0,2,4,5
55,110,4.700480365792417,0.6931471805599453,0.0,2,5,4
55,110,4.700480365792417,0.6931471805599453,0.0,2,5,4
55,110,7.1853870155804165,3.1780538303479458,1.791759469228055,0,5,4
56,112,23.433472746413617,19.408121055678468,18.021826694558577,3,4,14
56,112,5.4116460518550396,1.3862943611198906,0.0,3,4,7
56,112,5.4116460518550396,1.3862943611198906,0.0,3,4,7
56,112,13.036265038014438,9.010913347279288,7.6246189861593985,1,4,7
56,112,7.491087593534876,3.4657359027997265,2.0794415416798357,1,4,6
56,112,17.19514812137411,13.862943611198906,12.476649250079015,0,4,7
56,112,15.521171687802438,12.188967177627235,10.802672816507345,0,4,6
57,114,5.429345628954441,1.3862943611198906,0.0,2,4,9
57,114,4.736198448394496,0.6931471805599453,0.0,2,3,5
58,116,24.161711246784833,20.101268236238415,18.714973875118524,1,4,14
58,116,5.44673737166631,1.3862943611198906,0.0,1,4,7
60,120,24.88875997902046,20.79441541679836,19.408121055678468,3,4,15
60,120,5.480638923341991,1.3862943611198906,0.0,3,4,6
60,120,5.480638923341991,1.3862943611198906,0.0,3,4,10
60,120,5.480638923341991,1.3862943611198906,0.0,3,4,6
60,120,5.480638923341991,1.3862943611198906,0.0,1,6,6
60,120,4.787491742782046,0.6931471805599453,0.0,2,4,5
60,120,13.798405090061335,9.704060527839234,8.317766166719343,2,4,7
60,120,5.480638923341991,1.3862943611198906,0.0,2,6,4
60,120,4.787491742782046,1.3862943611198906,0.0,0,4,6
60,120,5.480638923341991,1.3862943611198906,0.0,1,4,5
60,120,6.173786103901937,2.0794415416798357,0.6931471805599453,1,6,6
60,120,5.480638923341991,1.3862943611198906,0.0,2,4,6
60,120,6.173786103901937,2.0794415416798357,0.6931471805599453,1,3,6
60,120,5.480638923341991,1.3862943611198906,0.0,2,5,6
60,120,5.480638923341991,1.3862943611198906,0.0,1,6,6
60,120,5.480638923341991,2.0794415416798357,0.6931471805599453,0,6,6
60,120,6.173786103901937,2.0794415416798357,0.6931471805599453,0,6,5
60,120,5.480638923341991,1.3862943611198906,0.0,0,4,5
60,120,14.49155227062128,11.090354888959125,9.704060527839234,0,4,6
60,120,15.184699451181226,11.78350206951907,10.39720770839918,0,4,6
60,120,4.787491742782046,1.3862943611198906,0.0,0,6,4
61,122,5.497168225293202,1.3862943611198906,0.0,0,4,5
62,124,25.614696982403395,21.487562597358306,20.101268236238415,1,4,15
63,126,5.529429087511423,1.3862943611198906,0.0,2,4,7
63,126,5.529429087511423,1.3862943611198906,0.0,2,4,10
63,126,4.836281906951478,0.6931471805599453,0.0,2,6,4
63,126,4.836281906951478,0.6931471805599453,0.0,2,3,6
64,128,26.33959286127792,22.18070977791825,20.79441541679836,3,4,16
64,128,6.238324625039508,2.0794415416798357,0.6931471805599453,3,4,8
64,128,5.545177444479562,1.3862943611198906,0.0,3,4,8
64,128,5.545177444479562,1.3862943611198906,0.0,3,4,8
64,128,5.545177444479562,1.3862943611198906,0.0,3,6,5
64,128,6.238324625039508,2.0794415416798357,0.6931471805599453,3,6,5
64,128,14.556090791758852,10.39720770839918,9.010913347279288,3,4,8
64,128,8.317766166719343,4.1588830833596715,2.772588722239781,3,4,6
64,128,4.852030263919617,1.3862943611198906,0.0,0,4,5
64,128,5.545177444479562,1.3862943611198906,0.0,3,4,5
64,128,5.545177444479562,1.3862943611198906,0.0,1,6,6
64,128,7.6246189861593985,4.1588830833596715,2.772588722239781,0,4,5
64,128,6.238324625039508,2.0794415416798357,0.6931471805599453,3,6,5
64,128,4.852030263919617,1.3862943611198906,0.0,0,4,5
64,128,7.336936913707618,3.1780538303479458,1.791759469228055,2,6,6
64,128,17.040997441546853,13.575261538747124,12.188967177627235,0,4,8
64,128,19.408121055678468,15.942385152878742,14.556090791758852,0,4,8
65,130,5.560681631015528,1.3862943611198906,0.0,0,4,7
65,130,5.560681631015528,1.3862943611198906,0.0,2,4,6
65,130,5.560681631015528,1.3862943611198906,0.0,0,4,6
66,132,27.06351170050462,22.873856958478196,21.487562597358306,1,4,16
66,132,5.575949103146316,1.3862943611198906,0.0,3,4,11
68,136,27.786511844214246,23.56700413903814,22.18070977791825,3,4,17
68,136,5.605802066295998,1.3862943611198906,0.0,1,4,8
68,136,4.912654885736052,0.6931471805599453,0.0,2,6,5
68,136,15.309862594135232,11.090354888959125,9.704060527839234,1,4,8
68,136,16.003009774695176,12.476649250079015,11.090354888959125,0,4,8
69,138,5.62040086571715,1.3862943611198906,0.0,2,4,11
70,140,28.508646561647446,24.260151319598087,22.873856958478196,1,4,17
70,140,5.634789603169249,1.3862943611198906,0.0,3,4,7
70,140,5.634789603169249,1.3862943611198906,0.0,1,6,7
70,140,9.21830854162536,4.969813299576001,3.58351893845611,0,6,7
72,144,29.229964619174087,24.95329850015803,23.56700413903814,3,4,18
72,144,5.662960480135946,1.3862943611198906,0.0,3,4,9
72,144,5.662960480135946,1.3862943611198906,0.0,3,4,9
72,144,5.662960480135946,1.3862943611198906,0.0,3,4,12
72,144,6.3561076606958915,2.0794415416798357,0.6931471805599453,3,4,6
72,144,5.662960480135946,1.3862943611198906,0.0,3,4,6
72,144,6.3561076606958915,2.0794415416798357,0.6931471805599453,3,6,6
72,144,6.3561076606958915,2.0794415416798357,0.6931471805599453,3,6,6
72,144,16.060168188535126,11.78350206951907,10.39720770839918,2,4,9
72,144,5.662960480135946,1.3862943611198906,0.0,2,6,5
72,144,5.662960480135946,1.3862943611198906,0.0,2,6,5
72,144,9.128696382935672,4.852030263919617,3.4657359027997265,1,4,6
72,144,5.662960480135946,1.3862943611198906,0.0,2,3,6
72,144,5.662960480135946,1.3862943611198906,0.0,2,6,5
72,144,4.969813299576001,1.3862943611198906,0.0,0,4,6
72,144,8.435549202375727,4.852030263919617,3.4657359027997265,0,4,6
72,144,8.435549202375727,4.852030263919617,3.4657359027997265,0,4,6
72,144,5.662960480135946,1.3862943611198906,0.0,1,6,6
72,144,4.969813299576001,1.3862943611198906,0.0,0,6,6
72,144,4.969813299576001,0.6931471805599453,0.0,2,4,5
72,144,5.662960480135946,1.3862943611198906,0.0,3,6,5
72,144,5.662960480135946,2.0794415416798357,0.6931471805599453,0,4,6
72,144,17.446462549655017,13.862943611198906,12.476649250079015,0,4,6
72,144,21.60534563301469,18.021826694558577,16.635532333438686,0,4,9
72,144,5.662960480135946,2.0794415416798357,0.6931471805599453,0,4,6
72,144,4.969813299576001,1.3862943611198906,0.0,0,4,6
72,144,4.969813299576001,1.3862943611198906,0.0,0,6,6
73,146,5.676753802268282,1.3862943611198906,0.0,0,4,7
74,148,29.950510773922147,25.646445680717978,24.260151319598087,1,4,18
74,148,5.69035945432406,1.3862943611198906,0.0,1,4,7
75,150,5.703782474656201,1.3862943611198906,0.0,2,4,12
75,150,5.703782474656201,1.3862943611198906,0.0,2,4,7
75,150,5.703782474656201,1.3862943611198906,0.0,2,3,6
76,152,30.670326201564254,26.33959286127792,24.95329850015803,3,4,19
76,152,16.807382590365346,12.476649250079015,11.090354888959125,1,4,9
77,154,5.730099782973574,1.3862943611198906,0.0,2,4,7
78,156,31.38944886852746,27.03274004183787,25.646445680717978,1,4,19
78,156,5.7430031878094825,1.3862943611198906,0.0,3,4,13
78,156,5.049856007249537,0.6931471805599453,0.0,2,6,5
78,156,5.049856007249537,0.6931471805599453,0.0,2,6,5
78,156,5.7430031878094825,1.3862943611198906,0.0,1,6,5
80,160,32.10791385707169,27.725887222397812,26.33959286127792,3,4,20
80,160,5.768320995793772,1.3862943611198906,0.0,3,4,8
80,160,5.768320995793772,1.3862943611198906,0.0,3,4,8
80,160,5.768320995793772,1.3862943611198906,0.0,1,4,8
80,160,5.768320995793772,1.3862943611198906,0.0,3,4,10
80,160,5.768320995793772,1.3862943611198906,0.0,3,4,10
80,160,5.768320995793772,1.3862943611198906,0.0,1,6,8
80,160,5.768320995793772,1.3862943611198906,0.0,1,6,6
80,160,5.768320995793772,1.3862943611198906,0.0,1,6,6
80,160,5.075173815233827,0.6931471805599453,0.0,2,4,6
80,160,5.075173815233827,0.6931471805599453,0.0,2,4,6
80,160,17.551823065312842,13.16979643063896,11.78350206951907,3,4,10
80,160,9.927204079153444,5.545177444479562,4.1588830833596715,1,4,6
80,160,5.768320995793772,1.3862943611198906,0.0,2,4,5
80,160,5.075173815233827,1.3862943611198906,0.0,0,4,6
80,160,5.075173815233827,1.3862943611198906,0.0,0,4,6
80,160,5.768320995793772,1.3862943611198906,0.0,1,6,6
80,160,6.461468176353717,2.0794415416798357,0.6931471805599453,1,5,5
80,160,6.461468176353717,2.0794415416798357,0.6931471805599453,1,7,5
80,160,9.234056898593499,5.545177444479562,4.1588830833596715,0,4,5
80,160,5.075173815233827,1.3862943611198906,0.0,0,4,8
80,160,5.768320995793772,1.3862943611198906,0.0,1,5,5
80,160,23.79014769035235,20.101268236238415,18.714973875118524,0,4,10
80,160,5.768320995793772,1.3862943611198906,0.0,0,5,5
80,160,5.075173815233827,1.3862943611198906,0.0,0,4,6
80,160,18.24497024587279,14.556090791758852,13.16979643063896,0,4,8
80,160,19.63126460699268,15.942385152878742,14.556090791758852,0,4,8
80,160,7.560080465021827,3.871201010907891,2.4849066497880004,0,6,5
80,160,10.855917331026156,7.16703787691222,5.780743515792329,0,8,4
81,162,5.780743515792329,1.3862943611198906,0.0,2,4,13
81,162,6.473890696352274,2.0794415416798357,0.6931471805599453,1,4,8
81,162,5.087596335232384,0.6931471805599453,0.0,2,6,5
81,162,5.087596335232384,0.6931471805599453,0.0,2,6,5
81,162,7.16703787691222,2.772588722239781,1.3862943611198906,2,6,4
81,162,5.780743515792329,1.3862943611198906,0.0,2,6,5
81,162,5.780743515792329,1.3862943611198906,0.0,2,6,5
81,162,5.780743515792329,1.3862943611198906,0.0,2,3,6
82,164,32.82575365022201,28.419034402957756,27.03274004183787,1,4,20
82,164,5.793013608384144,1.3862943611198906,0.0,1,4,9
84,168,33.54299838236102,29.112181583517703,27.725887222397812,3,4,21
84,168,5.817111159963204,1.3862943611198906,0.0,3,4,7
84,168,5.817111159963204,1.3862943611198906,0.0,3,4,14
84,168,5.817111159963204,1.3862943611198906,0.0,3,4,7
84,168,5.123963979403259,0.6931471805599453,0.0,2,6,6
84,168,5.123963979403259,0.6931471805599453,0.0,2,6,6
84,168,7.203405521083095,2.772588722239781,1.3862943611198906,3,6,6
84,168,18.29376041004222,13.862943611198906,12.476649250079015,2,4,10
84,168,5.817111159963204,2.0794415416798357,0.6931471805599453,0,4,6
84,168,6.51025834052315,2.0794415416798357,0.6931471805599453,1,4,6
84,168,6.51025834052315,2.0794415416798357,0.6931471805599453,0,6,5
84,168,7.60887062919126,3.1780538303479458,1.791759469228055,0,6,6
84,168,5.817111159963204,1.3862943611198906,0.0,2,6,6
84,168,5.123963979403259,0.6931471805599453,0.0,2,3,6
84,168,5.817111159963204,1.3862943611198906,0.0,1,3,6
84,168,5.817111159963204,1.3862943611198906,0.0,1,4,5
84,168,6.51025834052315,2.0794415416798357,0.6931471805599453,1,6,5
84,168,6.51025834052315,2.0794415416798357,0.6931471805599453,0,3,7
84,168,6.51025834052315,2.0794415416798357,0.6931471805599453,0,6,6
84,168,5.817111159963204,1.3862943611198906,0.0,0,4,5
84,168,18.986907590602165,15.249237972318797,13.862943611198906,0,4,7
84,168,20.373201951722056,16.635532333438686,15.249237972318797,0,4,8
84,168,5.817111159963204,2.0794415416798357,0.6931471805599453,0,6,6
85,170,5.8289456176102075,1.3862943611198906,0.0,0,4,6
85,170,5.8289456176102075,1.3862943611198906,0.0,2,4,8
85,170,5.8289456176102075,1.3862943611198906,0.0,0,4,8
86,172,34.25967606033116,29.805328764077647,28.419034402957756,1,4,21
87,174,5.8522024797744745,1.3862943611198906,0.0,2,4,14
88,176,34.9758127591158,30.498475944637594,29.112181583517703,3,4,22
88,176,5.863631175598097,1.3862943611198906,0.0,3,4,11
88,176,5.863631175598097,1.3862943611198906,0.0,3,4,11
88,176,19.03342760623706,14.556090791758852,13.16979643063896,1,4,11
88,176,10.715661439517714,6.238324625039508,4.852030263919617,1,4,6
88,176,25.964899411836512,22.18070977791825,20.79441541679836,0,4,11
89,178,5.87493073085203,1.3862943611198906,0.0,0,4,7
90,180,35.6914327955278,31.191623125197538,29.805328764077647,1,4,22
90,180,5.886104031450156,1.3862943611198906,0.0,3,4,9
90,180,5.886104031450156,1.3862943611198906,0.0,3,4,15
90,180,5.886104031450156,1.3862943611198906,0.0,1,4,9
90,180,5.886104031450156,1.3862943611198906,0.0,1,6,9
90,180,6.579251212010101,2.0794415416798357,0.6931471805599453,2,6,6
90,180,5.886104031450156,1.3862943611198906,0.0,1,3,6
90,180,6.579251212010101,2.0794415416798357,0.6931471805599453,1,6,5
90,180,7.965545573129992,3.4657359027997265,2.0794415416798357,1,6,5
90,180,7.272398392570047,2.772588722239781,1.3862943611198906,0,4,6
90,180,6.579251212010101,2.0794415416798357,0.6931471805599453,0,5,6
91,182,5.8971538676367405,1.3862943611198906,0.0,2,4,7
91,182,6.9957661563048505,2.4849066497880004,1.0986122886681098,0,6,5
91,182,7.688913336864796,3.1780538303479458,1.791759469228055,0,7,5
92,184,36.40655888280652,31.884770305757485,30.498475944637594,3,4,23
92,184,19.771026549367836,15.249237972318797,13.862943611198906,1,4,11
93,186,5.918893854273146,1.3862943611198906,0.0,2,4,15
93,186,5.225746673713202,0.6931471805599453,0.0,2,3,7
94,188,37.121212268587435,32.57791748631743,31.191623125197538,1,4,23
95,190,5.940171252720432,1.3862943611198906,0.0,2,4,9
96,192,37.83541285834521,33.27106466687737,31.884770305757485,3,4,24
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,8
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,16
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,8
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,8
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,12
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,12
96,192,5.950642552587727,1.3862943611198906,0.0,3,6,6
96,192,5.950642552587727,1.3862943611198906,0.0,3,6,6
96,192,6.643789733147672,2.0794415416798357,0.6931471805599453,3,6,6
96,192,20.50673334434658,15.942385152878742,14.556090791758852,4,4,12
96,192,5.950642552587727,1.3862943611198906,0.0,1,6,6
96,192,11.49581999706729,6.931471805599453,5.545177444479562,5,4,6
96,192,6.643789733147672,2.0794415416798357,0.6931471805599453,2,4,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,4,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,4,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,4,6
96,192,6.643789733147672,2.0794415416798357,0.6931471805599453,3,6,6
96,192,6.643789733147672,2.772588722239781,1.3862943611198906,0,4,6
96,192,6.643789733147672,2.772588722239781,1.3862943611198906,0,4,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,4,6
96,192,5.950642552587727,1.3862943611198906,0.0,3,6,6
96,192,6.643789733147672,2.0794415416798357,0.6931471805599453,3,6,6
96,192,7.336936913707618,2.772588722239781,1.3862943611198906,3,8,6
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,6
96,192,5.950642552587727,1.3862943611198906,0.0,3,4,7
96,192,7.336936913707618,2.772588722239781,1.3862943611198906,3,6,6
96,192,6.643789733147672,2.0794415416798357,0.6931471805599453,3,6,6
96,192,8.030084094267563,4.1588830833596715,2.772588722239781,0,4,6
96,192,10.802672816507345,6.931471805599453,5.545177444479562,0,4,6
96,192,8.030084094267563,4.1588830833596715,2.772588722239781,0,4,6
96,192,5.950642552587727,1.3862943611198906,0.0,3,6,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,4,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,4,6
96,192,5.950642552587727,1.3862943611198906,0.0,1,6,6
96,192,5.950642552587727,1.3862943611198906,0.0,2,3,6
96,192,5.950642552587727,1.3862943611198906,0.0,2,6,6
96,192,6.643789733147672,2.0794415416798357,0.6931471805599453,1,6,6
96,192,5.950642552587727,1.3862943611198906,0.0,3,6,6
96,192,5.950642552587727,1.3862943611198906,0.0,3,6,6
96,192,9.416378455387454,5.545177444479562,4.1588830833596715,0,4,6
96,192,23.27932206658636,19.408121055678468,18.021826694558577,0,4,8
96,192,28.131352330505976,24.260151319598087,22.873856958478196,0,4,12
96,192,21.199880524906522,17.328679513998633,15.942385152878742,0,4,8
96,192,6.643789733147672,2.772588722239781,1.3862943611198906,0,4,6
96,192,6.643789733147672,2.772588722239781,1.3862943611198906,0,4,6
96,192,6.643789733147672,2.772588722239781,1.3862943611198906,0,4,8
96,192,6.643789733147672,2.772588722239781,1.3862943611198906,0,4,7
96,192,9.416378455387454,5.545177444479562,4.1588830833596715,0,4,6
96,192,21.199880524906522,17.328679513998633,15.942385152878742,0,4,8
96,192,21.199880524906522,17.328679513998633,15.942385152878742,0,4,8
96,192,21.199880524906522,17.328679513998633,15.942385152878742,0,4,8
96,192,5.950642552587727,2.0794415416798357,0.6931471805599453,0,6,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,6,6
96,192,5.2574953720277815,1.3862943611198906,0.0,0,6,6
96,192,5.950642552587727,2.0794415416798357,0.6931471805599453,0,6,6
96,192,5.950642552587727,2.0794415416798357,0.6931471805599453,0,6,6
97,194,5.961005339623274,1.3862943611198906,0.0,0,4,8
98,196,38.54917932610789,33.96421184743732,32.57791748631743,1,4,24
98,196,6.664409020350408,2.0794415416798357,0.6931471805599453,2,4,7
99,198,5.981414211254481,1.3862943611198906,0.0,2,4,9
99,198,5.981414211254481,1.3862943611198906,0.0,2,4,16
100,200,39.26252921398536,34.657359027997266,33.27106466687737,3,4,25
100,200,5.991464547107982,1.3862943611198906,0.0,1,4,8
100,200,6.684611727667927,2.0794415416798357,0.6931471805599453,3,4,10
100,200,5.991464547107982,1.3862943611198906,0.0,3,4,10
100,200,5.991464547107982,1.3862943611198906,0.0,1,6,10
100,200,21.24070251942678,16.635532333438686,15.249237972318797,1,4,12
100,200,5.298317366548036,0.6931471805599453,0.0,2,4,6
100,200,6.684611727667927,2.0794415416798357,0.6931471805599453,1,8,6
100,200,5.298317366548036,1.3862943611198906,0.0,0,4,10
100,200,5.991464547107982,2.0794415416798357,0.6931471805599453,0,6,6
100,200,21.933849699986723,18.021826694558577,16.635532333438686,0,4,8
100,200,22.62699688054667,18.714973875118524,17.328679513998633,0,4,10
101,202,6.0014148779611505,1.3862943611198906,0.0,0,4,9
102,204,39.97547902184148,35.35050620855721,33.96421184743732,1,4,25
102,204,6.0112671744041615,1.3862943611198906,0.0,3,4,17
